_RAJ2000,_DEJ2000,recno,CName,Cluster,Inst,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,l_EWLi,EWLi,e_EWLi,f_EWLi,Gamma,e_Gamma,RV,e_RV,MembPA,MembPB,ID,Simbad,_RA,_DE
159.95591666666664,-64.74027777777776,527,10394942-6444250, IC2602,GIRAFFE,3431,75,2.797,,-0.25,,<,100.0,,3,0.848,0.006,17.525,0.248,0.954,,527,Simbad,159.95591666666664,-64.74027777777776
160.12579166666666,-64.70469444444444,557,10403019-6442169, IC2602,GIRAFFE,3874,119,2.695,,-0.13,, ,90.3,,0,0.847,0.002,17.683,0.241,0.956,,557,Simbad,160.12579166666666,-64.70469444444444
160.64466666666667,-64.83033333333333,710,10423472-6449492, IC2602,GIRAFFE,3480,69,4.632,0.138,-0.25,, ,107.2,,0,0.827,0.008,17.534,0.278,0.955,,710,Simbad,160.64466666666664,-64.83033333333333
160.73366666666664,-63.93083333333333,737,10425608-6355510, IC2602,GIRAFFE,5135,41,2.693,,-0.023,0.05, ,291.1,10.08,0,0.985,0.001,18.015,0.241,0.957,,737,Simbad,160.73366666666664,-63.930833333333325
160.75099999999998,-65.50497222222221,743,10430024-6530179, IC2602,GIRAFFE,5534,91,3.395,,0.027,0.036, ,197.433,2.95,0,0.992,0.001,16.651,0.24,0.901,,743,Simbad,160.75099999999998,-65.50497222222221
160.95312499999997,-63.780027777777775,800,10434875-6346481, IC2602,GIRAFFE,3335,58,4.674,0.101,-0.28,, ,41.5,,0,0.848,0.015,17.463,0.375,0.952,,800,Simbad,160.95312499999997,-63.78002777777777
160.95920833333335,-64.7506111111111,802,10435021-6445022, IC2602,GIRAFFE,3394,133,4.669,0.125,-0.28,, ,174.5,,0,0.849,0.01,17.523,0.272,0.955,,802,Simbad,160.95920833333332,-64.7506111111111
160.97150000000002,-64.86683333333332,807,10435316-6452006, IC2602,GIRAFFE,3784,67,4.17,,-0.16,, ,98.9,,0,0.838,0.003,17.413,0.243,0.95,,807,Simbad,160.9715,-64.86683333333332
161.03454166666666,-64.70508333333332,826,10440829-6442183, IC2602,GIRAFFE,3522,12,3.365,,-0.25,, ,133.2,,0,0.843,0.005,18.615,0.253,0.944,,826,Simbad,161.03454166666666,-64.70508333333332
161.05808333333334,-64.77425000000001,836,10441394-6446273, IC2602,GIRAFFE,5142,0,3.476,,0.223,, ,278.6,8.236,0,0.975,0.001,17.3,0.24,0.944,,836,Simbad,161.05808333333331,-64.77425
161.31274999999997,-64.80611111111112,887,10451506-6448220, IC2602,GIRAFFE,3437,115,4.639,0.126,-0.26,, ,112.5,,0,0.839,0.008,19.282,0.832,0.913,,887,Simbad,161.31274999999997,-64.80611111111111
161.322625,-64.94538888888889,890,10451743-6456434, IC2602,GIRAFFE,3411,106,4.634,0.151,-0.25,, ,123.0,,0,0.845,0.007,17.75,0.256,0.958,,890,Simbad,161.322625,-64.94538888888889
161.32725000000002,-64.44833333333332,892,10451854-6426540, IC2602,GIRAFFE,3461,82,4.346,,-0.26,,<,100.0,,3,0.833,0.006,16.993,0.316,0.932,,892,Simbad,161.32725,-64.44833333333332
161.32729166666664,-63.54069444444444,893,10451855-6332265, IC2602,GIRAFFE,4068,92,4.472,0.122,-0.061,0.103,<,17.2,,3,0.876,0.002,17.65,0.24,0.956,,893,Simbad,161.32729166666664,-63.54069444444443
161.3565833333333,-64.3286111111111,899,10452558-6419430, IC2602,GIRAFFE,3393,70,4.657,0.113,-0.26,,<,100.0,,3,0.839,0.01,16.751,0.64,0.921,,899,Simbad,161.3565833333333,-64.3286111111111
161.412625,-64.21747222222221,916,10453903-6413029, IC2602,GIRAFFE,3388,137,4.449,,-0.27,, ,75.1,,0,0.696,0.005,16.909,0.584,0.927,,916,Simbad,161.412625,-64.21747222222221
161.55433333333332,-64.43552777777778,955,10461304-6426079, IC2602,GIRAFFE,3389,152,4.681,0.074,-0.27,,<,100.0,,3,0.848,0.012,18.714,0.479,0.941,,955,Simbad,161.55433333333332,-64.43552777777776
161.68354166666668,-64.41399999999999,994,10464405-6424504, IC2602,GIRAFFE,3347,56,4.75,,-0.28,, ,126.2,,0,0.858,0.011,17.322,0.315,0.949,,994,Simbad,161.68354166666666,-64.41399999999999
161.6992083333333,-64.26275,997,10464781-6415459, IC2602,GIRAFFE,3319,85,4.76,,-0.23,, ,197.8,,0,0.867,0.014,17.46,0.48,0.952,,997,Simbad,161.6992083333333,-64.26275
162.21520833333332,-63.961638888888885,1141,10485165-6357419, IC2602,GIRAFFE,3341,67,4.78,,-0.24,, ,110.5,,0,0.864,0.013,17.096,0.316,0.94,,1141,Simbad,162.21520833333332,-63.96163888888888
162.35933333333332,-64.65,1179,10492624-6439000, IC2602,GIRAFFE,4321,485,2.297,,-0.015,0.121, ,194.367,9.335,0,0.901,0.002,17.266,0.242,0.944,,1179,Simbad,162.35933333333332,-64.64999999999999
162.4585833333333,-63.94177777777777,1211,10495006-6356304, IC2602,GIRAFFE,3635,76,4.573,0.189,-0.21,, ,137.1,,0,0.81,0.005,18.933,0.244,0.927,,1211,Simbad,162.4585833333333,-63.94177777777777
162.85229166666664,-64.55152777777776,1374,10512455-6433055, IC2602,GIRAFFE,6049,210,3.93,,-0.125,0.021, ,90.35,1.075,0,1.004,0.001,17.892,0.241,0.949,,1374,Simbad,162.85229166666664,-64.55152777777776
163.0271666666667,-64.5045,1431,10520652-6430162, IC2602,GIRAFFE,3418,102,4.692,0.057,-0.26,, ,141.4,,0,0.832,0.009,17.455,0.276,0.953,,1431,Simbad,163.02716666666666,-64.5045
163.07608333333332,-64.1811388888889,1449,10521826-6410521, IC2602,GIRAFFE,3586,68,4.191,,-0.22,, ,164.6,,0,0.816,0.004,17.348,0.24,0.949,,1449,Simbad,163.07608333333332,-64.18113888888888
266.11229166666664,5.901444444444444,1,17442695+0554052, IC4665,   UVES,5341,180,4.347,0.259,-0.006,0.084, ,308.8,,0,,,-13.42,0.4,0.933,,1,Simbad,266.11229166666664,5.901444444444444
266.14854166666663,5.955777777777777,3,17443565+0557208, IC4665,   UVES,6109,36,3.805,0.023,-0.296,0.019, ,39.3,,0,,,-14.002,0.4,0.94,,3,Simbad,266.14854166666663,5.955777777777777
266.2420833333333,5.8591388888888885,7,17445810+0551329, IC4665,   UVES,5512,124,4.486,0.035,-0.045,0.073, ,223.633,5.583,0,0.993,0.004,-13.116,0.4,0.942,,7,Simbad,266.2420833333333,5.8591388888888885
266.3308333333333,5.794472222222222,9,17451940+0547401, IC4665,   UVES,5309,106,4.47,0.091,-0.06,0.014, ,244.367,3.153,0,0.993,0.004,-12.503,0.4,0.949,,9,Simbad,266.3308333333333,5.794472222222222
