    Cluster    Teff  WLi_limit          WLi        e_WLi          ALi        e_ALi              Ref 
      TucHor   4311          0       207.30          nan          nan          nan        Kraus2014 
      TucHor   2908          0       528.40          nan          nan          nan        Kraus2014 
      TucHor   4462          0       218.00          nan          nan          nan        Kraus2014 
      TucHor   3320          1       -29.70          nan          nan          nan        Kraus2014 
      TucHor   3438          1       -18.10          nan          nan          nan        Kraus2014 
      TucHor   3240          1        -9.50          nan          nan          nan        Kraus2014 
      TucHor   3477          1        11.20          nan          nan          nan        Kraus2014 
      TucHor   3490          1        21.20          nan          nan          nan        Kraus2014 
      TucHor   3160          1       -23.30          nan          nan          nan        Kraus2014 
      TucHor   3300          1         3.40          nan          nan          nan        Kraus2014 
      TucHor   3240          1        -3.30          nan          nan          nan        Kraus2014 
      TucHor   3770          1        21.60          nan          nan          nan        Kraus2014 
      TucHor   3504          1         7.50          nan          nan          nan        Kraus2014 
      TucHor   3160          1       -16.60          nan          nan          nan        Kraus2014 
      TucHor   3946          1        -8.30          nan          nan          nan        Kraus2014 
      TucHor   3320          1       -15.00          nan          nan          nan        Kraus2014 
      TucHor   4159          0       179.10          nan          nan          nan        Kraus2014 
      TucHor   3532          1       -11.20          nan          nan          nan        Kraus2014 
      TucHor   3200          1        -7.60          nan          nan          nan        Kraus2014 
      TucHor   3076          1       -33.70          nan          nan          nan        Kraus2014 
      TucHor   3160          1        67.80          nan          nan          nan        Kraus2014 
      TucHor   5258          0       339.10          nan          nan          nan        Kraus2014 
      TucHor   3048          1       -16.90          nan          nan          nan        Kraus2014 
      TucHor   3160          1        19.30          nan          nan          nan        Kraus2014 
      TucHor   3180          1         3.80          nan          nan          nan        Kraus2014 
      TucHor   3260          1         9.90          nan          nan          nan        Kraus2014 
      TucHor   3104          1        38.70          nan          nan          nan        Kraus2014 
      TucHor   2304          0       634.00          nan          nan          nan        Kraus2014 
      TucHor   3360          1        15.50          nan          nan          nan        Kraus2014 
      TucHor   3220          1       -33.10          nan          nan          nan        Kraus2014 
      TucHor   3048          1       -35.20          nan          nan          nan        Kraus2014 
      TucHor   3220          1        -7.00          nan          nan          nan        Kraus2014 
      TucHor   3672          1        -5.80          nan          nan          nan        Kraus2014 
      TucHor   3518          1       -15.20          nan          nan          nan        Kraus2014 
      TucHor   3260          1        -7.70          nan          nan          nan        Kraus2014 
      TucHor   3104          1       -18.70          nan          nan          nan        Kraus2014 
      TucHor   2936          0       510.70          nan          nan          nan        Kraus2014 
      TucHor   3451          1        15.80          nan          nan          nan        Kraus2014 
      TucHor   3180          1        27.20          nan          nan          nan        Kraus2014 
      TucHor   3020          0       185.30          nan          nan          nan        Kraus2014 
      TucHor   3260          1        31.40          nan          nan          nan        Kraus2014 
      TucHor   3240          1        22.80          nan          nan          nan        Kraus2014 
      TucHor   3200          1        16.50          nan          nan          nan        Kraus2014 
      TucHor   3451          1        20.20          nan          nan          nan        Kraus2014 
      TucHor   3260          1        29.30          nan          nan          nan        Kraus2014 
      TucHor   3160          1       -14.30          nan          nan          nan        Kraus2014 
      TucHor   3076          1        34.60          nan          nan          nan        Kraus2014 
      TucHor   3280          1        10.10          nan          nan          nan        Kraus2014 
      TucHor   3630          1         0.60          nan          nan          nan        Kraus2014 
      TucHor   2992          0       528.60          nan          nan          nan        Kraus2014 
      TucHor   3360          1        24.80          nan          nan          nan        Kraus2014 
      TucHor   4044          1        10.60          nan          nan          nan        Kraus2014 
